Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2024-07-21 08:20 (+01),On Demand,Aditi Shah,10,Meditation,Morning,10 min Morning Meditation,2024-07-15 12:25 (+01),,,,,,,,,,
2024-07-21 08:33 (+01),On Demand,Aditi Shah,10,Meditation,Morning,10 min Morning Meditation,2024-07-08 12:24 (+01),,,,,,,,,,
2024-07-21 10:36 (GMT),,,26,Cycling,,26 min 53 sec Outdoor Cycling,,358,182,0%,0,5.03,2.24,127,,,
2024-07-21 11:40 (GMT),,,26,Cycling,,26 min 17 sec Outdoor Cycling,,387,246,0%,0,5.84,2.55,124,,,
2024-07-22 00:41 (GMT),On Demand,Chelsea Jackson Roberts,30,Meditation,Sleep,30 min Sleep Meditation,2024-07-18 05:00 (GMT),,,,,,,,,,
2024-07-22 17:57 (GMT),,,110,Cardio,,110 min 43 sec Just Cardio,,,,,,,,510,,,
2024-07-23 00:59 (GMT),On Demand,Chelsea Jackson Roberts,30,Meditation,Sleep,30 min Sleep Meditation,2024-07-18 05:00 (GMT),,,,,,,,,,
2024-07-23 23:31 (+01),On Demand,Kirra Michel,30,Yoga,Flow,30 min New Wave Yoga Flow,2024-07-19 18:54 (+01),,,,,,,82,,,
2024-07-24 00:18 (GMT),On Demand,Ross Rayburn,30,Meditation,Sleep,30 min Sleep Meditation,2022-10-24 16:00 (GMT),,,,,,,,,,
2024-07-24 23:28 (+01),On Demand,Kristin McGee,20,Strength,Music,20 min Rock Pilates,2024-06-07 14:24 (+01),,,,,,,78,,,
2024-07-25 22:58 (GMT),On Demand,Jess Sims,20,Strength,Bodyweight,20 min Bodyweight Strength,2024-07-24 19:00 (GMT),,,,,,,27,,,
2024-07-25 23:21 (GMT),On Demand,Denis Morton,45,Yoga,Yin Yoga,45 min Yin Yoga,2024-07-24 05:00 (GMT),,,,,,,11,,,
2024-07-26 01:11 (GMT),On Demand,Ross Rayburn,30,Meditation,Sleep,30 min Sleep Meditation,2022-10-24 16:00 (GMT),,,,,,,,,,
2024-07-26 11:55 (+01),On Demand,Jess Sims,30,Running,Music Run,30 min Hip Hop Run,2024-07-18 05:00 (+01),537,,,,7.19,3.57,226,,0,8:20
2024-07-26 12:31 (+01),On Demand,Joslyn Thompson Rule,5,Walking,Cool Down Walk,5 min Cool Down Walk,2024-04-04 16:00 (+01),40,,,,3.20,0.27,16,,,
2024-07-26 23:38 (+01),On Demand,Nico Sarani,30,Meditation,Sleep,30 min Sleep Meditation,2024-07-08 16:00 (+01),,,,,,,,,,
2024-07-27 22:52 (+01),On Demand,Kirra Michel,10,Meditation,Sleep,10 min Sleep Meditation,2024-07-24 05:00 (+01),,,,,,,,,,
2024-07-28 07:23 (+01),On Demand,Matt Wilpers,60,Running,Music Run,60 min Country Run,2024-06-20 16:00 (+01),911,,,,6.24,6.13,462,,0,9:37
2024-07-28 08:47 (+01),On Demand,Joslyn Thompson Rule,5,Walking,Cool Down Walk,5 min Cool Down Walk,2024-04-04 16:00 (+01),29,,,,1.38,0.11,16,,,
2024-07-29 23:24 (+01),On Demand,Chelsea Jackson Roberts,30,Meditation,Sleep,30 min Sleep Meditation,2024-07-18 05:00 (+01),,,,,,,,,,
